Date,^GSPC,^NDX,^STOXX50E,^FTSE,^GDAXI,^N225,000001.SS,^NSEI,^HSI,^AXJO
2019-07-18,2995.110107421875,7904.1298828125,3482.830078125,7493.10009765625,12227.849609375,21046.240234375,2901.179931640625,11596.900390625,28461.66015625,6649.10009765625
2019-07-19,2976.610107421875,7834.89990234375,3480.179931640625,7508.7001953125,12260.0703125,21466.990234375,2924.199951171875,11419.25,28765.400390625,6700.2998046875
2019-07-22,2985.030029296875,7905.1201171875,3489.919921875,7514.89990234375,12289.400390625,21416.7890625,2886.97412109375,11346.2001953125,28371.259765625,6691.2001953125
2019-07-23,3005.469970703125,7954.56005859375,3532.8701171875,7556.89990234375,12490.740234375,21620.880859375,2899.93994140625,11331.0498046875,28466.48046875,6724.60009765625
2019-07-24,3019.56005859375,8010.60986328125,3532.89990234375,7501.5,12522.8896484375,21709.5703125,2923.280029296875,11271.2998046875,28524.0390625,6776.7001953125
2019-07-25,3003.669921875,7929.8701171875,3510.14990234375,7489.10009765625,12362.099609375,21756.55078125,2937.360107421875,11252.150390625,28594.30078125,6818.0
2019-07-26,3025.860107421875,8016.9501953125,3524.469970703125,7549.10009765625,12419.900390625,21658.150390625,2944.5400390625,11284.2998046875,28397.740234375,6793.39990234375
2019-07-29,3020.969970703125,7989.080078125,3523.580078125,7686.60009765625,12417.4697265625,21616.80078125,2941.010009765625,11189.2001953125,28106.41015625,6825.7998046875
2019-07-30,3013.179931640625,7952.47021484375,3462.85009765625,7646.7998046875,12147.240234375,21709.310546875,2952.340087890625,11085.400390625,28146.5,6845.10009765625
2019-07-31,2980.3798828125,7848.77978515625,3466.85009765625,7586.7998046875,12189.0400390625,21521.529296875,2932.510009765625,11118.0,27777.75,6812.60009765625
2019-08-01,2953.56005859375,7801.14990234375,,7584.89990234375,12253.150390625,21540.990234375,2908.77001953125,10980.0,27565.69921875,6788.89990234375
2019-08-02,2932.050048828125,7692.7998046875,3376.1201171875,7407.10009765625,11872.4404296875,21087.16015625,2867.840087890625,10997.349609375,26918.580078125,6768.60009765625
2019-08-05,2844.739990234375,7415.68994140625,3310.929931640625,7223.89990234375,11658.509765625,20720.2890625,2821.5,10862.599609375,26151.3203125,6640.2998046875
2019-08-06,2881.77001953125,7521.31982421875,3291.659912109375,7171.7001953125,11567.9599609375,20585.310546875,2777.555908203125,10948.25,25976.240234375,6478.10009765625
2019-08-07,2883.97998046875,7551.89990234375,3309.989990234375,7198.7001953125,11650.150390625,20516.560546875,2768.679931640625,10855.5,25997.029296875,6519.5
2019-08-08,2938.090087890625,7724.830078125,3375.3798828125,7285.89990234375,11845.41015625,20593.349609375,2794.552001953125,11032.4501953125,26120.76953125,6568.10009765625
2019-08-09,2918.64990234375,7646.27001953125,3333.739990234375,7253.89990234375,11693.7998046875,20684.8203125,2774.75,11109.650390625,25939.30078125,6584.39990234375
2019-08-12,2882.699951171875,7561.68017578125,3326.550048828125,7226.7001953125,11679.6796875,,2814.989990234375,,25824.720703125,6590.2998046875
2019-08-13,2926.320068359375,7728.14990234375,3357.159912109375,7250.89990234375,11750.1298828125,20455.439453125,2797.260009765625,10925.849609375,25281.30078125,6568.5
2019-08-14,2840.60009765625,7490.1298828125,3288.699951171875,7147.89990234375,11492.66015625,20655.130859375,2808.909912109375,11029.400390625,25302.279296875,6595.89990234375
2019-08-15,2847.60009765625,7484.89013671875,3282.780029296875,7067.0,11412.669921875,20405.650390625,2815.800048828125,,25495.4609375,6408.10009765625
2019-08-16,2888.679931640625,7604.10986328125,3329.080078125,7117.2001953125,11562.740234375,20418.810546875,2823.820068359375,11047.7998046875,25734.220703125,6405.5
2019-08-19,2923.64990234375,7719.31982421875,3369.18994140625,7189.7001953125,11715.3701171875,20563.16015625,2883.10009765625,11053.900390625,26291.83984375,6467.39990234375
2019-08-20,2900.510009765625,7664.47021484375,3350.22998046875,7125.0,11651.1796875,20677.220703125,2880.0,11017.0,26231.5390625,6545.0
2019-08-21,2924.429931640625,7733.22021484375,3394.889892578125,7204.0,11802.849609375,20618.5703125,2880.330078125,10918.7001953125,26270.0390625,6483.2998046875
2019-08-22,2922.949951171875,7707.43017578125,3373.669921875,7128.2001953125,11747.0400390625,20628.009765625,2883.43994140625,10741.349609375,26048.720703125,6501.7998046875
2019-08-23,2847.110107421875,7464.990234375,3334.25,7095.0,11611.509765625,20710.91015625,2897.429931640625,10829.349609375,26179.330078125,6523.10009765625
2019-08-26,2878.3798828125,7575.02001953125,3348.840087890625,,11658.0400390625,20261.0390625,2863.570068359375,11057.849609375,25680.330078125,6440.10009765625
2019-08-27,2869.159912109375,7566.02978515625,3370.469970703125,7089.60009765625,11730.01953125,20456.080078125,2902.18994140625,11105.349609375,25664.0703125,6471.2001953125
2019-08-28,2887.93994140625,7587.89990234375,3365.3798828125,7114.7001953125,11701.01953125,20479.419921875,2893.760009765625,11046.099609375,25615.48046875,6500.60009765625
2019-08-29,2924.580078125,7702.31005859375,3411.330078125,7184.2998046875,11838.8798828125,20460.9296875,2890.919921875,10948.2998046875,25703.5,6507.39990234375
2019-08-30,2926.4599609375,7691.0,3426.760009765625,7207.2001953125,11939.2802734375,20704.369140625,2886.239990234375,11023.25,25724.73046875,6604.2001953125
2019-09-02,,,3432.5400390625,7281.89990234375,11953.7802734375,20620.189453125,2924.10595703125,,25626.55078125,6579.39990234375
2019-09-03,2906.27001953125,7609.509765625,3420.739990234375,7268.2001953125,11910.8603515625,20625.16015625,2930.14990234375,10797.900390625,25527.849609375,6573.39990234375
2019-09-04,2937.780029296875,7719.25,3450.830078125,7311.2998046875,12025.0400390625,20649.140625,2957.409912109375,10844.650390625,26523.23046875,6553.0
2019-09-05,2976.0,7862.5400390625,3484.699951171875,7271.2001953125,12126.7802734375,21085.939453125,2985.860107421875,10847.900390625,26515.529296875,6613.2001953125
2019-09-06,2978.7099609375,7852.5400390625,3495.18994140625,7282.2998046875,12191.73046875,21199.5703125,2999.60009765625,10946.2001953125,26690.759765625,6647.2998046875
2019-09-09,2978.429931640625,7832.39990234375,3495.02001953125,7235.7998046875,12226.099609375,21318.419921875,3024.739990234375,11003.0498046875,26681.400390625,6648.0
2019-09-10,2979.389892578125,7814.740234375,3498.989990234375,7268.0,12268.7099609375,21392.099609375,3021.199951171875,,26683.6796875,6614.10009765625
2019-09-11,3000.929931640625,7887.580078125,3516.820068359375,7338.0,12359.0703125,21597.759765625,3008.81005859375,11035.7001953125,27159.060546875,6638.0
2019-09-12,3009.570068359375,7917.33984375,3538.860107421875,7344.7001953125,12410.25,21759.609375,3031.239990234375,10982.7998046875,27087.630859375,6654.89990234375
2019-09-13,3007.389892578125,7892.9501953125,3550.110107421875,7367.5,12468.5302734375,21988.2890625,,11075.900390625,27352.689453125,6669.2001953125
2019-09-16,2997.9599609375,7852.41015625,3518.449951171875,7321.39990234375,12380.3095703125,,3030.75,11003.5,27124.55078125,6673.5
2019-09-17,3005.699951171875,7888.7900390625,3521.260009765625,7320.39990234375,12372.6103515625,22001.3203125,2978.1201171875,10817.599609375,26790.240234375,6695.2998046875
2019-09-18,3006.72998046875,7888.56005859375,3528.0400390625,7314.10009765625,12389.6201171875,21960.7109375,2985.659912109375,10840.650390625,26754.119140625,6681.60009765625
2019-09-19,3006.7900390625,7901.7900390625,3552.64990234375,7356.39990234375,12457.7001953125,22044.44921875,2999.280029296875,10704.7998046875,26468.94921875,6717.5
2019-09-20,2992.070068359375,7823.5498046875,3571.389892578125,7344.89990234375,12468.009765625,22079.08984375,3006.449951171875,11274.2001953125,26435.669921875,6730.7998046875
2019-09-23,2991.780029296875,7818.60986328125,3536.969970703125,7326.10009765625,12342.330078125,,2977.080078125,11600.2001953125,26222.400390625,6749.7001953125
